50   130
33   42    61.199593
49   19    59.893252
12   34    78.864178
18   34    95.193112
22   31    50.017999
49   26    73.837005
14   36    52.544187
30   33    96.870325
10   27    64.364097
43   15    90.324535
9   49    67.211601
39   1    76.691125
3   11    51.175845
29   31    58.768932
32   3    55.925252
19   48    52.000057
34   23    73.255249
49   45    95.695341
8   37    52.816124
48   47    53.106400
5   43    99.981543
44   22    95.210354
15   9    92.077396
3   5    50.786564
5   25    65.110143
34   10    87.074639
25   7    53.636534
9   6    73.688816
11   35    66.981598
39   6    52.710184
49   14    86.857668
19   28    78.181192
5   19    62.603436
43   40    65.721846
19   16    73.374303
6   34    62.621434
33   25    89.558851
7   30    75.918490
20   19    59.491759
6   25    53.922948
31   12    66.243026
30   4    76.703360
35   2    80.614073
13   42    67.418871
24   28    85.472292
31   22    86.539324
17   14    69.418928
25   24    58.727541
44   16    82.234665
8   27    72.235052
0   43   31.000000   20.000000
0   40   29.000000   30.066593
0   1   34.000000   28.017851
1   40   38.000000   19.313208
1   33   34.000000   21.840330
1   21   40.000000   5.830952
1   5   27.000000   7.000000
2   28   40.000000   1.414214
2   27   24.000000   28.160256
2   15   25.000000   15.652476
2   6   34.000000   2.828427
2   4   34.000000   10.440307
3   49   32.000000   12.206556
3   41   38.000000   32.310989
3   29   40.000000   35.000000
3   28   39.000000   7.071068
3   20   27.000000   15.811388
3   18   32.000000   10.440307
3   8   40.000000   10.630146
3   6   37.000000   4.472136
3   4   30.000000   5.000000
4   48   25.000000   26.627054
4   46   33.000000   17.720045
4   33   24.000000   22.847319
4   7   27.000000   8.246211
5   45   30.000000   18.439089
5   40   37.000000   22.803509
5   24   40.000000   44.011362
5   21   39.000000   6.403124
5   17   29.000000   19.000000
6   37   31.000000   9.219544
6   24   24.000000   14.212670
6   15   39.000000   13.000000
6   9   36.000000   35.805028
7   46   40.000000   23.021729
7   45   29.000000   11.045361
7   38   38.000000   17.204651
7   13   24.000000   2.236068
8   49   25.000000   2.000000
8   46   24.000000   14.764823
8   41   31.000000   30.479501
8   39   35.000000   4.472136
8   37   32.000000   4.242641
8   35   29.000000   8.062258
8   24   34.000000   5.385165
8   18   30.000000   10.198039
8   12   35.000000   17.464249
9   45   34.000000   13.892444
9   40   40.000000   12.369317
9   36   24.000000   14.142136
9   30   37.000000   6.082763
9   22   26.000000   28.635642
10   43   29.000000   8.062258
10   15   39.000000   10.049876
11   14   35.000000   7.280110
12   41   31.000000   27.892651
12   32   26.000000   8.246211
12   26   24.000000   22.360680
13   42   30.000000   29.614186
13   41   37.000000   27.018512
13   17   32.000000   24.413111
13   15   33.000000   19.723083
14   40   29.000000   9.055385
14   34   30.000000   18.384776
15   44   40.000000   20.615528
16   47   40.000000   9.055385
16   40   37.000000   11.401754
16   36   24.000000   2.236068
16   35   27.000000   30.083218
16   25   28.000000   13.000000
18   35   32.000000   3.605551
18   34   29.000000   23.706539
18   31   36.000000   14.212670
18   20   38.000000   6.708204
19   49   33.000000   44.721360
20   49   40.000000   16.278821
20   43   36.000000   8.062258
20   32   32.000000   24.000000
20   28   39.000000   10.000000
22   34   36.000000   8.062258
23   41   35.000000   27.018512
24   39   33.000000   1.000000
24   38   36.000000   16.155494
24   35   37.000000   9.055385
25   46   29.000000   17.464249
25   42   32.000000   8.062258
25   41   26.000000   7.211103
25   38   39.000000   16.643317
25   36   32.000000   15.033296
26   41   33.000000   5.830952
26   34   36.000000   10.816654
26   33   27.000000   37.589892
26   31   34.000000   21.840330
27   29   25.000000   30.000000
28   40   36.000000   30.479501
28   35   40.000000   5.099020
28   31   26.000000   10.630146
29   45   32.000000   17.888544
29   39   37.000000   38.078866
29   30   24.000000   12.806248
30   48   29.000000   5.385165
31   42   29.000000   30.528675
31   40   39.000000   20.000000
31   39   34.000000   13.341664
31   34   33.000000   12.000000
32   46   26.000000   13.000000
32   44   27.000000   21.023796
33   44   35.000000   22.472205
34   47   26.000000   10.000000
34   45   38.000000   13.416408
34   44   30.000000   13.000000
34   40   39.000000   12.649111
34   38   37.000000   3.162278
35   49   39.000000   7.280110
35   37   38.000000   4.123106
36   49   39.000000   25.079872
36   45   26.000000   3.605551
36   44   25.000000   9.486833
36   42   38.000000   23.086793
37   39   29.000000   5.099020
38   46   40.000000   5.830952
39   49   37.000000   2.828427
39   45   39.000000   25.179357
39   40   28.000000   28.178006
40   44   24.000000   17.464249
40   42   39.000000   10.770330
42   49   32.000000   36.796739
44   49   26.000000   16.031220
44   45   26.000000   9.219544
46   47   40.000000   12.806248
