600 20715
33 42 92.376702
99 19 80.502244
12 84 85.128033
68 84 58.925661
72 31 91.505374
49 76 92.075044
64 36 55.384346
80 33 87.895979
60 77 79.259266
93 65 80.600204
59 99 55.162025
89 51 61.778148
53 61 60.716293
79 31 82.755605
32 3 72.700428
69 98 85.737742
84 73 93.326792
99 45 56.463079
58 37 51.196995
48 47 63.688437
5 93 98.056804
94 22 97.031835
65 59 92.229626
3 55 71.277179
55 75 64.191119
34 60 66.666837
75 7 86.995090
59 6 67.502626
11 85 83.466515
89 56 91.793108
99 14 57.695030
19 78 75.843217
5 69 72.295352
43 90 92.823063
19 16 84.768878
6 34 63.800726
33 75 84.898107
7 30 90.153224
20 19 51.696705
56 75 64.157373
31 62 70.753428
30 4 56.858730
85 2 75.935521
13 42 81.469721
74 28 89.614335
81 22 98.635949
17 64 67.207464
75 74 82.941126
44 66 55.099028
58 77 68.404458
79 70 96.629563
95 26 53.155832
30 17 65.436293
1 76 88.859189
66 60 74.433011
72 35 79.627412
33 30 55.526026
8 61 61.428101
71 12 97.130038
47 68 88.992541
30 66 53.221209
67 16 54.825067
71 9 64.835759
17 10 75.516560
52 91 97.648130
20 57 99.604637
55 47 89.317286
82 24 82.546237
52 7 89.757861
48 38 91.013991
43 7 96.703609
31 37 60.511289
39 25 97.872721
23 51 72.639130
93 45 91.981010
17 23 87.487056
23 16 71.275079
58 11 59.188474
12 9 70.428182
41 55 76.374107
58 71 77.592932
56 47 67.057746
5 21 79.529939
10 48 93.029225
74 7 55.916934
63 40 53.962950
29 3 72.656636
64 21 61.442960
49 53 65.391051
36 90 69.786674
63 68 50.435502
17 47 68.612259
90 78 74.611741
69 4 65.271260
55 51 94.128820
73 33 72.259871
56 49 64.875897
46 31 83.446106
83 44 54.806107
4 57 54.633758
17 62 74.460097
28 81 51.509717
46 49 65.145046
93 5 72.332818
49 42 74.148847
88 51 57.126056
40 31 59.819874
51 67 95.423926
51 47 66.314530
40 22 80.248057
84 41 71.798033
92 39 93.907462
36 53 97.305802
14 67 51.327972
17 8 86.936686
86 39 53.222737
6 96 55.290922
38 68 59.593323
83 45 64.665697
91 94 70.681973
72 71 79.379996
64 31 65.101199
37 69 89.294232
56 83 53.991737
71 10 80.372459
74 10 83.423052
34 4 76.251608
83 58 95.248356
47 88 66.869158
52 43 81.057715
85 20 99.882114
4 44 91.329255
54 46 82.567432
88 72 65.027160
14 4 63.662073
77 21 56.716279
78 36 72.153217
80 64 73.481947
81 67 52.140205
53 72 88.467747
15 62 53.730004
89 24 73.938238
96 42 82.375209
17 12 51.035806
22 5 75.266210
42 6 69.311895
63 26 54.258543
56 66 80.557132
63 44 78.905217
90 68 68.924240
8 73 51.239105
34 64 58.285214
38 52 84.025439
26 93 90.533338
12 44 62.276951
70 42 64.397898
74 33 73.956390
74 25 88.528559
82 13 59.646254
38 6 90.825547
56 20 69.586274
89 17 59.528368
61 31 82.154802
49 55 52.153706
20 21 74.555528
98 8 95.816875
17 2 58.869985
0 53 96.708744
90 27 69.298823
64 3 61.010190
51 19 85.176491
85 10 73.028827
61 92 84.948428
29 71 67.551699
82 82 74.064633
82 60 60.214639
66 59 86.863594
14 73 78.323176
50 51 90.771771
20 10 65.768812
60 93 97.247416
39 98 92.010876
27 12 74.054025
92 50 81.272855
77 40 82.544214
44 74 86.330976
84 51 95.670753
26 31 56.500603
54 83 74.859535
23 83 55.317007
92 76 97.326151
16 15 94.445809
84 8 64.845375
0 8 79.480953
53 91 96.599515
15 12 89.400902
75 62 75.297829
21 11 55.469501
88 96 86.109647
6 3 94.596652
34 5 66.479691
93 8 71.286138
70 80 67.625478
5 83 51.428119
72 9 88.837837
50 40 91.690112
0 47 61.642758
60 52 75.701431
76 37 70.013288
98 22 52.414529
70 13 91.470243
34 74 67.260704
37 25 94.425405
37 22 65.524269
90 34 98.533559
2 31 76.969619
1 89 51.855245
49 80 94.204312
10 10 83.470223
29 56 76.714780
43 91 99.521319
78 31 80.796374
60 70 71.160589
44 7 64.366694
25 31 60.277327
94 9 67.760105
98 84 53.767596
4 59 85.575156
1 19 73.229605
74 76 89.877243
4 54 80.171807
86 28 89.709296
13 9 61.163380
30 70 97.797286
31 45 91.137416
16 68 50.001217
37 38 89.487397
17 79 52.780174
46 22 75.702649
